PI,region,study_area,station,lat_wgs84,long_wgs84,country,elev,slope,TPI,access,access_log10,Hansen_recentloss,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio20,bio21,bio22,bio23,bio24,bio25,bio26,bio27,bio28,bio29,bio30,bio31,bio32,bio33,bio34,bio35,PA,PA_size_km2,dist_to_PA,PA_year,utm_east,utm_north,maxFRic,asymptPD,SR.mean,rh_95_a0.pred,pavd_0_5.pred,pai_a0.pred,fhd_pai_1m_a0.pred,cover_a0.pred,agbd_a0.pred
Brodie,Borneo,Luasong,T11,4.9196,117.26733,Malaysia,228,11.50243378,2.3125,171.6655121,2.234683053,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,3.395659998,2013,3273970.706,596592.3137,0.285737272,2.774023438,13.57894737,23.24525598,0.127998061,3.27871528,2.89079238,0.662098,4.708677859
Brodie,Borneo,Luasong,T12,4.91931,117.28436,Malaysia,187,10.12842464,-9.0078125,184.6719208,2.266400866,1,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,3.131145289,2013,3276041.584,596637.3274,11.65308713,1.175,4.472222222,19.31554946,0.129385687,2.569923645,2.690815285,0.518901672,4.317482403
Brodie,Borneo,Luasong,T13,4.92864,117.22189,Malaysia,377,7.687212944,-0.4609375,306.4859314,2.486410544,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,3.165567666,2013,3268407.762,597473.6407,NA,NA,NA,26.77352452,0.128872806,4.350086087,3.038029026,0.831315438,5.060264051
Brodie,Borneo,Luasong,T14,4.92869,117.24016,Malaysia,407,10.893363,15.953125,228.6434784,2.359158818,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,4.399062827,2013,3270626.914,597565.6315,12.98977666,1.5,16.41176471,29.85368588,0.128269187,4.160872918,3.094014395,0.822940814,5.268386285
Brodie,Borneo,Luasong,T15,4.92848,117.25812,Malaysia,376,11.92760944,-3.875,181.4203949,2.258686108,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,4.682812988,2013,3272809.937,597624.7522,NA,NA,NA,26.81333008,0.128543111,3.993614788,3.121821826,0.782564921,5.084263918
Brodie,Borneo,Luasong,T16,4.92893,117.27618,Malaysia,263,11.90482616,-0.6640625,169.8398743,2.23003966,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,4.280174647,2013,3275002.316,597764.3858,11.65308713,1.3,11.25,20.55383163,0.126572072,2.980114569,2.818903071,0.580878069,4.345027256
Brodie,Borneo,Luasong,T17,4.93758,117.23116,Malaysia,493,12.23634148,-0.5546875,1749.695801,3.24296255,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,4.065703186,2013,3269491.852,598600.0228,23.95578345,3.48125,6.156862745,31.70258323,0.129124597,4.257589024,3.108830526,0.835497975,5.349949479
Brodie,Borneo,Luasong,T18,4.93792,117.24935,Malaysia,492,11.1334486,-12.625,172.2648163,2.236196585,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,5.461446673,2013,3271700.038,598726.963,NA,NA,NA,33.85409769,0.12902348,4.325749004,3.161254192,0.841689524,5.464360942
Brodie,Borneo,Luasong,T20,4.93763,117.28519,Malaysia,249,12.07487106,-4.828125,168.3429871,2.226195029,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,85.0057929,4.431533901,2015,3276056.288,598861.0481,16.96448175,2.51875,7.888888889,30.15281008,0.130745592,4.185087406,2.979462526,0.761701883,5.099973127
Brodie,Borneo,Luasong,T21,4.94663,117.22211,Malaysia,540,7.621846676,-0.109375,1207.668701,3.081947811,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,2.711929823,2013,3268350.006,599653.42,4.310274146,2.092824074,26.11764706,32.03249744,0.128387682,4.052958866,3.127710391,0.81124667,5.302438225
Brodie,Borneo,Luasong,T22,4.94665,117.24021,Malaysia,544,5.701395035,3.8046875,1584.706421,3.199948818,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,4.54981342,2013,3270548.566,599741.2847,0,1.125,4,36.15238815,0.122486911,3.851507854,3.207495403,0.77322165,5.553145367
Brodie,Borneo,Luasong,T25,4.95564,117.23119,Malaysia,561,8.304372787,4.6640625,172.5591125,2.236937899,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,3.330103178,2013,3269410.493,600787.5298,12.59461891,2.09375,4.235294118,30.33657986,0.128366239,4.126971135,3.134264657,0.836134718,5.373630769
Brodie,Borneo,Luasong,T26,4.95566,117.24922,Malaysia,539,6.615866184,-1.890625,1658.470581,3.219707772,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,5.314626607,2013,3271600.662,600875.2593,40.07410122,3.3984375,13.92156863,30.64991967,0.128850113,4.181967058,3.13587771,0.842852714,5.460805564
Brodie,Borneo,Luasong,T27,4.95559,117.26737,Malaysia,442,10.56820107,-6.7734375,168.3200684,2.226135899,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,85.0057929,5.928295378,2015,3273806.145,600952.7385,6.842503452,2.191210938,6,29.24212875,0.13106497,3.884509617,3.088771909,0.78148607,5.16349906
Brodie,Borneo,Luasong,T28,4.95554,117.28534,Malaysia,272,10.69346428,2.6875,163.4359436,2.213347575,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,85.0057929,3.973499304,2015,3275989.971,601031.87,16.74846792,2.25,6,22.22283872,0.133232869,3.611111191,2.973789518,0.725934381,4.757091702
Brodie,Borneo,Luasong,T29,4.96467,117.22211,Malaysia,567,6.268044949,2.1484375,197.1676331,2.294835623,0,25.70230675,7.488117218,0.892824292,0.000950916,30.09350014,21.7064991,8.387000084,25.47800064,25.58157349,26.04865074,25.29792786,2477,53.32979965,40.48839951,0.079666972,659.2537231,553.6245117,627.2047119,614.7567139,157.4910736,181.0879974,142.3899994,0.072859608,144.8761597,170.5894623,165.5625458,151.6435394,1.294728518,1.364472985,1.218014002,0.03223351,1.345295787,1.250922441,1.286460638,1.313306093,0,560.3123375,2.297280365,2013,3268264.985,601838.1975,NA,NA,NA,30.30282897,0.128458909,3.954890095,3.133337822,0.813746169,5.280726215
