station,country,HDI,elev,TPI,access_log10,Hansen_recentloss,bio01,PA,PA_size_km2,dist_to_PA,utm_east,utm_north,asymptPD,SR.mean,maxFRic,rh_95_a0.pred,pai_a0.pred,fhd_pai_1m_a0.pred,cover_a0.pred,agbd_a0.pred
L2534127,Malaysia,0.81,61,0.375,4.424784845,0,26.84200859,0,0.104546749,0.032342321,1470749.776,352797.5625,2.523713114,53.76239669,135.8201927,7.503084454,0.878983162,1.960558962,0.279844168,3.427766125
L3854673,Malaysia,0.81,152,0.171875,4.368607133,0,25.99204063,1,140.5296906,NA,1370065.172,688672.2945,4.52466165,210.3611111,367.8412325,27.53753518,4.160364669,3.145790971,0.84782992,5.26602088
L5182494,Malaysia,0.81,52,0.0703125,4.199622674,0,26.84200859,0,0.146181612,6.587311559,1477870.661,337371.8435,2.797042181,69.68571429,162.8127075,4.191442003,0.443759876,1.736778617,0.149644139,2.84453157
L2027882,Malaysia,0.81,0,-3.4765625,NA,0,26.58137512,0,2.481081468,33.85080538,1298982.535,609293.2338,2.628485412,91.10526316,162.0685488,11.78786108,1.799700295,2.508909795,0.461513114,4.064474703
L4408949,Malaysia,0.81,0,0.46875,1.899722141,0,26.89927292,0,1.937602819,1.711349558,3208966.25,841053.7908,3.294294982,114.1136364,198.2400645,23.17941832,4.526303507,2.898119455,0.776073738,4.887475764
L4727912,Malaysia,0.81,96,-0.1640625,3.230871054,0,26.68654442,0,6.237731807,17.30795558,2467738.791,146618.5647,3.860771319,91.125,241.7519311,15.41857501,2.480244701,2.539729069,0.577963221,4.133889671
L4457826,Malaysia,0.81,1,-0.0703125,2.073811423,0,26.87872314,0,85.521363,2.4547378,2440463.124,196842.0809,3.354715703,72.58823529,218.1842841,6.209452177,0.511416326,1.930771321,0.161632801,2.886194894
L6051839,Malaysia,0.81,55,-2.015625,3.990496677,0,26.2592411,0,418.946956,5.128121075,1691058.08,258517.7437,4.688874356,169.9719298,309.8222238,20.40506603,3.228312177,2.949786872,0.694269331,4.915664675
L5929242,Malaysia,0.81,72,-3.234375,3.637547968,0,25.68810844,1,196.3390834,NA,1635262.132,263455.2733,2.175197829,126.4343434,337.3525146,30.14224605,4.147477349,3.030576028,0.802922671,5.33590352
L5969878,Malaysia,0.81,55,-2.015625,3.990496677,0,26.2592411,0,418.946956,5.368406328,1691260.989,258654.3219,2.645814907,144.2877193,479.8102072,30.25412492,4.035851426,3.182314416,0.812255019,5.448000775
L3880393,Malaysia,0.81,54,0.015625,2.146385032,0,26.96194077,1,272.6286725,NA,3383365.004,668024.6863,5.010992412,201.3594771,216.3974842,39.30607766,3.888911967,2.926958759,0.791998666,5.266334371
L6974280,Malaysia,0.81,67,-0.3828125,4.457730903,0,27.03678703,0,2.481081468,10.18082897,1341017.91,605443.5561,4.15719194,107,171.5406306,3.829497262,0.730629016,1.681791907,0.17739764,2.865304304
L5822929,Malaysia,0.81,1,0.09375,3.772135149,0,NA,0,46.31016986,31.92997243,1536030.244,691619.2662,3.701481855,149.0243902,233.2389699,8.886845216,1.523062876,2.264473638,0.437116552,3.562065156
L5818266,Malaysia,0.81,8,-0.21875,4.203381022,0,27.02940559,0,46.31016986,18.54171885,1519073.793,674917.3483,3.651284097,75.20170455,175.2157577,7.404571616,0.762209739,2.178950473,0.264371152,3.335528059
L5883145,Malaysia,0.81,133,-5.203125,3.928502168,0,26.41691971,0,46.31016986,7.326875339,1529613.878,640888.3101,2.655263534,106.0568182,290.0125238,18.39424272,3.264547276,2.842240796,0.676240539,4.614631812
L6043970,Malaysia,0.81,148,-4.0859375,NA,0,26.58137512,0,2.481081468,27.29022034,1305842.518,608892.2805,2.332008537,83.08928571,149.4706659,15.85698364,2.853402134,2.698348457,0.599254894,4.541898686
L8455739,Malaysia,0.81,62,-0.7421875,3.153221069,0,26.97856903,0,272.6286725,0.628249865,3393946.757,672991.2858,2.948287185,166.5125,156.484818,19.18119914,3.18927608,2.849531685,0.703263747,4.586485592
L6200644,Malaysia,0.81,1,0.0078125,3.349154782,0,NA,0,46.31016986,32.07743455,1535606.025,691827.3687,3.530086676,78.2,208.6318777,8.539174228,1.417036987,2.230998207,0.412370065,3.500343529
L4487730,Malaysia,0.81,0,0,NA,0,27.47807693,0,2.481081468,13.69932937,1317499.154,596490.0688,NA,NA,NA,9.37531935,1.631117733,2.220510483,0.38516236,3.694515489
L6696169,Malaysia,0.81,46,1.671875,4.437957556,0,27.06264305,0,11.76902665,3.672264345,1460612.046,342385.1589,2.09335991,30.42424242,97.77808004,6.081843091,0.834245005,2.002289368,0.270518687,3.294189631
L4727930,Malaysia,0.81,1,0.9765625,1.859804289,0,26.81186104,0,85.521363,6.304665505,2458315.22,196707.8402,2.997459567,84.65079365,157.9943417,11.95112512,1.931724289,2.438689247,0.463460013,3.713899644
