"station","awf_ptg","med_dist","taxon","PA_ours"
"L2534291",93.0011742001585,10,"bird",0
"L971582",1823.24687949308,10,"bird",1
"L3606014",3325.27901455555,10,"bird",0
"L1867475",161.810960521856,10,"bird",0
"L921127",2.35296007115791,10,"bird",0
"L5242928",0,10,"bird",0
"L2514883",1674.49748421168,10,"bird",1
"L990195",0,10,"bird",0
"L2674885",106.587191324267,10,"bird",0
"L921128",8554.87382660909,10,"bird",1
"L1042659",4154.79412304318,10,"bird",1
"L921118",3601.22713148777,10,"bird",1
"L3452588",3.309735330156,10,"bird",0
"L921126",2230.60244969295,10,"bird",1
"L1096278",4505.56194858878,10,"bird",1
"L1080118",2.66181434108177,10,"bird",0
"L3600720",1713.20314067581,10,"bird",0
"L1867725",8538.55345673604,10,"bird",1
"L1096297",4656.32207365941,10,"bird",1
"L1864345",164.511518151246,10,"bird",0
"L3600849",1794.895939522,10,"bird",0
"L4535055",264.75991104993,10,"bird",0
"L3571673",292.568504644377,10,"bird",0
"L1082418",311.658654711296,10,"bird",0
"L3595174",38.8176955150027,10,"bird",0
"L3755111",1398.83721557816,10,"bird",0
"L3599750",1324.43364787401,10,"bird",1
"L3872349",431.093132245847,10,"bird",0
"L946060",6.19595745424356,10,"bird",0
"L5624588",218.483514207718,10,"bird",0
"L3960755",1189.1850508291,10,"bird",1
"L1876655",0,10,"bird",0
"L3071596",0,10,"bird",0
"L921137",7157.60896116301,10,"bird",0
"L1867730",8538.55345673604,10,"bird",1
"L2086071",1858.72250074154,10,"bird",0
"L4022276",1945.75999358482,10,"bird",0
"L1291931",4651.47304451235,10,"bird",0
"L4060551",218.601002773404,10,"bird",0
"L1299299",3447.27995524391,10,"bird",0
"L2946306",106.7566025,10,"bird",1
"L3793507",7701.75136506802,10,"bird",0
"L3681160",7785.93710535517,10,"bird",0
"L4180384",2230.69720157222,10,"bird",1
"L3321319",2.97872123249767,10,"bird",0
"L3859406",7806.25480549389,10,"bird",0
"L954493",4344.60346889875,10,"bird",1
"L1829142",0,10,"bird",0
"L1149974",1803.46414322816,10,"bird",1
"L922741",1782.1660322445,10,"bird",1
"L9898432",2038.36464517273,10,"bird",1
"L2696002",1663.01128716368,10,"bird",1
"L3175135",805.413976827884,10,"bird",0
"L1323044",3331.28693899362,10,"bird",0
"L3985622",1005.22450494534,10,"bird",0
"L1105490",1636.79645331218,10,"bird",0
"L4180439",4229.08308870827,10,"bird",1
"L4876628",0,10,"bird",0
"L4581180",0,10,"bird",0
"L3557141",3.14512346448388,10,"bird",0
"L974164",8.47231962200321,10,"bird",1
"L4306159",0,10,"bird",0
"L1109573",437.216110127434,10,"bird",0
"L5274022",3560.85693150102,10,"bird",1
"L1110063",0,10,"bird",0
"L1882731",161.317764500989,10,"bird",0
"L1088086",328.052090593341,10,"bird",0
"L5523974",40.3787140672436,10,"bird",0
"L12464346",2376.42990415655,10,"bird",0
"L921136",106.7566025,10,"bird",1
"L2995069",432.829611845316,10,"bird",0
"L1876183",2230.62982078022,10,"bird",1
"L921154",4265.47443625493,10,"bird",1
"L1866952",3602.57375109385,10,"bird",1
"L958015",3602.88384658766,10,"bird",1
"L956721",3592.73780117753,10,"bird",1
"L1032356",0,10,"bird",0
"L4485689",0,10,"bird",0
"L4423353",0,10,"bird",0
"L1261422",685.047009000702,10,"bird",0
"L5557638",5.90515333313159,10,"bird",0
"L3563802",271.589572355861,10,"bird",0
"L971623",1787.3666701467,10,"bird",1
"L4796634",1844.7995996137,10,"bird",0
